Escolaridad,id_escolaridad
Analisis,1
Antejuicio,2
Apelacion Especial,3
Archivado,4
Archivo Fisico,5
Asignacion,6
Casacion,7
Clausurado,8
Conciliacion,9
Concluido,10
Conexado,11
Conexado Final,12
Convertido,13
Criterio De Oportunidad,14
Desestimado,15
En Investigacion,16
Mediacion,17
Pendiente,18
Procedimiento Intermedio,19
Recepcion Basica,20
Recurrido,21
Remision,22
Remision Centro De Mediacion,23
Remitido A Familia,24
Remitido A Menores,25
Remitido A Otra Fiscalia,26
Remitido A Paz,27
Sentencia,28
Sentenciado,29
Sin Seleccion,30
Sobreseido,31
Suspendido,32
Suspension A La Perscusion Penal,33
Tramite,34
