sede,id_sede
Amatitlan,1
Antigua Guatemala,2
Chimaltenango,3
Chiquimula,4
Chiquimulilla,5
Chisec,6
Coatepeque,7
Coban,8
Cuilapa,9
El Progreso,10
El Quiche,11
Escuintla,12
Esquipulas,13
Guastatoya,14
Huehuetenango,15
Inacif Central,16
Ixcan,17
Izabal,18
Jalapa,19
Jocotan,20
Joyabaj,21
Jutiapa,22
La Democracia,23
La Libertad,24
Maimi,25
Maina,26
Malacatan,27
Mazatenango,28
Mixco,29
Morales,30
Nebaj,31
Poptun,32
Puerto Barrios,33
Quetzaltenango,34
Quiche,35
Rabinal,36
Retalhuleu,37
Salama,38
San Benito,39
San Jose,40
San Jose Pinula,41
San Juan Sacatepequez,42
San Marcos,43
San Pedro Carcha,44
Santa Catalina La Tinta,45
Santa Cruz Barillas,46
Santa Cruz Del Quiche,47
Santa Eulalia,48
Santa Lucia Cotzumalguapa,49
Santiago Atitlan,50
Sede Central,51
Solola,52
Suchitepequez,53
Tecun Uman,54
Tiquisate,55
Totonicapan,56
Villa Canales,57
Villa Nueva,58
Zacapa,59
