edad,aneo,sexo,id_departamento,id_pueblo,id_tipo_discriminacion,id_com_linguistica,id
41,2016,1,1,3,3,7,1
59,2016,1,3,3,3,15,2
30,2016,2,1,3,3,7,3
,2016,,3,3,3,15,4
53,2016,2,1,3,3,15,5
62,2016,2,1,3,3,15,6
60,2016,2,1,3,3,15,7
38,2016,1,1,3,3,8,8
33,2016,2,1,7,3,,9
46,2016,1,1,3,3,8,10
51,2016,1,1,1,3,,11
51,2016,1,1,1,3,,12
65,2016,2,1,3,3,8,13
49,2016,1,20,3,3,7,14
48,2016,1,20,3,3,7,15
26,2016,1,20,3,3,7,16
50,2016,2,16,3,3,4,17
37,2016,2,3,3,3,15,18
41,2016,1,3,3,3,15,19
18,2016,1,11,1,3,1,20
18,2016,1,11,1,3,1,21
18,2016,1,11,1,3,1,22
18,2016,2,11,1,3,1,23
18,2016,1,11,1,3,1,24
18,2016,1,11,1,3,1,25
18,2016,2,11,1,3,1,26
56,2017,2,1,3,3,8,27
39,2017,2,15,3,3,7,28
47,2017,1,1,1,3,,29
37,2017,2,1,3,3,15,30
67,2017,2,1,3,3,15,31
18,2017,2,1,3,3,,32
46,2017,2,1,3,3,7,33
31,2017,2,1,3,3,15,34
59,2017,2,1,3,6,7,35
51,2017,2,20,3,3,7,36
27,2017,2,1,3,3,8,37
36,2017,2,1,7,3,,38
51,2017,1,20,3,3,7,39
58,2017,2,20,3,3,7,40
27,2017,1,20,3,3,7,41
58,2017,1,20,3,3,7,42
55,2017,2,16,3,3,6,43
38,2017,2,16,3,3,10,44
30,2017,1,3,1,7,1,45
40,2017,1,3,1,7,1,46
18,2017,2,11,1,7,1,47
18,2017,1,11,1,7,1,48
18,2017,2,11,1,7,1,49
18,2017,2,11,3,7,7,50
43,2018,2,1,3,7,10,51
34,2018,2,,3,3,6,52
42,2018,2,,3,7,18,53
38,2018,2,1,3,3,7,54
,2018,2,1,4,7,12,55
38,2018,1,18,3,7,2,56
28,2018,2,1,3,7,8,57
53,2018,1,1,3,3,8,58
26,2018,2,1,6,7,19,59
46,2018,2,3,3,3,16,60
34,2018,2,1,3,3,16,61
41,2018,1,3,3,3,16,62
36,2018,2,20,3,3,7,63
38,2018,2,20,3,3,7,64
41,2018,2,20,3,3,7,65
42,2018,1,20,3,3,7,66
56,2018,1,5,3,3,6,67
33,2018,2,16,3,3,10,68
34,2018,2,16,3,3,10,69
24,2018,2,11,1,7,1,70
32,2018,1,11,1,7,1,71
40,2018,2,11,1,7,1,72
53,2019,2,5,3,3,8,73
25,2019,2,1,3,3,8,74
42,2019,1,1,2,3,7,75
34,2019,2,1,5,3,16,76
35,2019,2,15,3,3,8,77
61,2019,2,1,3,7,8,78
60,2019,1,1,1,7,3,79
,2019,2,1,3,7,8,80
52,2019,2,14,3,7,8,81
59,2019,2,20,3,3,7,82
25,2019,1,20,3,3,7,83
36,2019,1,20,3,3,7,84
34,2019,1,20,3,3,7,85
46,2019,2,16,3,3,10,86
21,2019,1,16,3,3,10,87
30,2019,2,16,3,3,6,88
25,2019,1,3,3,3,15,89
23,2019,1,11,1,7,1,90
30,2020,1,1,3,3,7,91
42,2020,2,2,3,3,7,92
20,2020,2,1,1,8,7,93
28,2020,1,1,1,8,7,94
52,2020,1,16,3,3,14,95
40,2020,1,20,3,3,7,96
22,2020,2,7,3,3,10,97
46,2021,2,19,3,1,8,98
30,2021,2,1,3,1,8,99
15,2021,1,3,3,1,15,100
33,2021,2,16,3,1,14,101
25,2021,2,,3,1,9,102
58,2021,1,20,3,1,13,103
44,2022,2,1,3,7,17,104
46,2022,1,1,3,7,8,105
,2022,2,1,3,7,7,106
52,2022,1,1,1,7,7,107
42,2022,2,1,3,7,7,108
34,2022,2,16,3,2,5,109
23,2022,2,16,3,1,14,110
49,2022,1,20,7,2,11,111
40,2023,2,1,3,4,7,112
40,2023,2,1,3,5,8,113
